name	ghidra_addr	body_bytes	callees	callers
MeshChangeMaterial	0008a540	36	0	1
MeshResourceChangeMaterial	0008a562	44	0	0
MeshResourceChangeAllMaterial	0008a58e	46	0	0
MeshGetPointer	0008a5bc	16	0	2
MeshGetTriCount	0008a5cc	38	2	1
TransformGetTriCount	0008a5f2	84	2	1
SpriteSystemCreate	0008a648	170	4	1
ArrayAdd<AbyssEngine::SpriteSystem*>	0008a6f8	36	1	1
SpriteSystemCreate	0008a71c	126	3	1
SpriteSystemSetAllSize	0008a7a0	30	0	1
SpriteSystemSetAllUv	0008a7bc	60	1	1
SpriteSystemSetUv	0008a7f8	72	1	1
SpriteSystemSetRGBA	0008a840	72	1	1
SpriteSystemSetSize	0008a888	42	0	1
SpriteSystemAddSize	0008a8b2	52	0	1
SpriteSystemGetPosition	0008a8e6	188	0	0
SpriteSystemGetPosition	0008a9a2	52	0	0
SpriteSystemSetPosition	0008a9d6	62	0	1
SpriteSystemAddPosition	0008aa14	86	0	1
DrawSpriteSystem	0008aa70	396	10	1
DrawSpriteSystem	0008ac20	362	9	0
DrawSpriteSystem	0008adb0	406	9	1
TransformCreate	0008af64	250	9	1
TransformCreate	0008b070	50	3	2
TransformAddMesh	0008b0b0	16	0	2
TransformRemoveMesh	0008b178	46	1	1
TransformRemoveMeshId	0008b1a4	36	0	0
TransformAddMeshId	0008b1c6	194	4	1
ArrayRemove<AbyssEngine::Mesh*>	0008b288	68	1	0
TransformSetLocal	0008b2cc	34	1	1
TransformAddChild	0008b2ee	94	2	1
TransformRemoveChild	0008b34c	62	1	1
ArrayRemove<AbyssEngine::Transform*>	0008b388	68	1	1
TransformGetLocal	0008b3cc	64	2	1
TransformSetColor	0008b410	20	0	1
TransformGet2DPickedTextureRegion	0008b424	354	6	1
TransformGet2DPickedTextureRegion	0008b590	218	6	0
TransformGetTransform	0008b67c	8	0	9
TransformGetTriCount	0008b690	26	0	0
CameraCreate	0008b6a8	104	5	1
Camera	0008b724	56	2	1
ArrayAdd<AbyssEngine::Camera*>	0008b75c	36	1	1
CameraSetLocal	0008b780	36	1	1
CameraGetLocal	0008b7a4	68	2	1
CameraSetCurrent	0008b7ec	28	0	1
SetProjectionMatrix3d	0008b808	324	4	1
CameraGetCurrent	0008b968	18	0	1
CameraGetCurrentFactor1	0008b97a	36	0	0
CameraSetPerspective	0008b99e	128	3	1
CameraSetPerspective	0008ba1e	120	3	0
CameraIsPointinViewFrustum	0008ba98	258	6	0
CameraIsSphereinViewFrustum	0008bbb8	272	6	1
GetScreenPosition	0008bce8	88	2	1
GetScreenPosition	0008bd58	576	12	1
GetScreenPosition	0008bfb4	388	4	0
MaterialCreate	0008c13c	60	3	0
