class	method	ghidra_addr	body	callees
Level	enableFog	000d651c	12	0
Level	enableMovingStars	000d6528	20	0
Level	reset	000d653a	256	8
Level	switchSkyboxForIntro	000d663c	76	3
Level	switchSkyboxForSupernovaReversal	000d668c	98	4
Level	getNumDockingTargets	000d66f8	46	0
Level	getDockingTarget	000d6726	54	0
Level	hasMiningPlant	000d675c	14	0
Level	getMiningPlant	000d676a	22	0
Level	getNumDeliveredOre	000d6780	6	0
Level	incNumDeliveredOre	000d6786	12	0
Level	getNumDeliveredPassengers	000d6792	6	0
Level	incNumDeliveredPassengers	000d6798	12	0
StarMap	StarMap	000d67a4	930	26
Array<AbyssEngine::AEMath::Vector*>	Array	000d6ba0	28	1
ArraySetLength<AbyssEngine::AEMath	ArraySetLength<AbyssEngine::AEMath::Vector*>	000d6bbc	52	2
StarMap	init	000d6bf0	2076	49
StarMap	~StarMap	000d749c	224	5
StarMap	initStarSystem	000d7580	1912	59
StarMap	initLights	000d7d9c	54	2
StarMap	setStart	000d7dd8	52	3
StarMap	depart	000d7e0c	508	17
StarMap	isInPlanetMode	000d8040	12	0
StarMap	setJumpMapMode	000d804c	10	0
StarMap	render	000d8058	134	7
StarMap	drawKey	000d80e8	560	8
StarMap	drawOnScreenInfo	000d8354	3336	44
StarMap	draw	000d90f4	2460	38
StarMap	missionChanged	000d9b48	6	0
StarMap	askForJumpIntoAlienWorld	000d9b50	54	2
StarMap	update	000d9b90	2970	40
(free)	ArrayRelease<bool>	000da7cc	18	1
StarMap	OnTouchBegin	000da7e0	778	20
StarMap	OnTouchMove	000dab0c	846	9
StarMap	OnTouchEnd	000dae90	2668	46
RecordHandler	RecordHandler	000dba2c	150	5
RecordHandler	~RecordHandler	000dbb08	34	1
RecordHandler	notEnoughMemory	000dbb30	22	1
RecordHandler	readAllPreviewRecords	000dbb48	70	4
Array<GameRecord*>	Array	000dbba0	28	1
(free)	ArraySetLength<GameRecord*>	000dbbbc	52	2
RecordHandler	recordStoreReadPreview	000dbbf0	200	13
RecordHandler	readAllRecords	000dbcdc	70	4
RecordHandler	recordStoreRead	000dbd34	5014	64
RecordHandler	readRecord	000dd25c	14	1
RecordHandler	loadResolutionValue	000dd260	464	13
RecordHandler	loadOptions	000dd450	790	21
RecordHandler	checkHash	000dd7b0	250	12
RecordHandler	saveOptions	000dd8c8	510	14
RecordHandler	addHashToOptions	000ddafc	234	11
RecordHandler	readRecordAsByteArray	000ddbfc	152	10
RecordHandler	writeByteArrayAsRecord	000ddcb0	128	9
RecordHandler	readOptionsFileAsByteArray	000ddd4c	116	9
RecordHandler	writeByteArrayAsOptionsFile	000dddd8	100	8
Array<unsigned_char>	Array	000dde50	28	1
(free)	ArrayAdd<unsigned_char>	000dde6c	50	2
RecordHandler	addHash	000ddea0	254	11
RecordHandler	readMission	000ddfb4	558	21
RecordHandler	readAgent	000de250	866	27
(free)	ArraySetLength<PendingProduct*>	000de644	52	2
Array<Wanted*>	Array	000de678	28	1
(free)	ArraySetLength<Wanted*>	000de694	52	2
RecordHandler	readWanted	000de6c8	436	17
RecordHandler	recordStoreWrite	000de8ac	3808	60
RecordHandler	writeMission	000df840	402	26
RecordHandler	writeAgent	000df9f0	548	31
RecordHandler	writeWanted	000dfc40	290	26
RecordHandler	recordStoreWritePreview	000dfd78	248	22
RecordHandler	recordStoreWritePreview	000dfea4	218	14
RecordHandler	convertSDVersionSaves	000dffa8	488	14
Array<signed_char*>	Array	000e01c0	28	1
(free)	ArraySetLength<signed_char*>	000e01dc	52	2
(free)	ArrayReleaseArrays<signed_char*>	000e0210	72	1
RecordHandler	changeSaveDirectoryToBackupDirectory	000e0258	282	9
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetOrigamiSuperClub	000e0390	50	1
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ReleaseOrigamiSuperClub	000e03cc	18	0
(free)	loadingScreen	000e03e4	684	22
(free)	OnDestroyApplication	000e06c4	48	4
GameData	~GameData	000e06f4	64	1
(free)	OnCreateApplication	000e0738	1102	32
GameData	GameData	000e0c6c	94	1
Sprite	Sprite	000e0d18	106	4
Sprite	setFrame	000e0d88	72	2
Sprite	Sprite	000e0dd0	92	3
Sprite	~Sprite	000e0e30	22	1
Sprite	defineReferencePixel	000e0e46	6	0
Sprite	setRefPixelPosition	000e0e4c	6	0
Sprite	setPosition	000e0e52	6	0
Sprite	draw	000e0e68	282	2
Sprite	drawRegion	000e0f8c	136	1
Sprite	nextFrame	000e1018	8	0
Sprite	prevFrame	000e1020	10	0
Layout	Layout	000e1028	5478	0
Layout	~Layout	000e2bc8	86	3
Layout	reload	000e2c20	1008	12
Layout	resetWindowDimensions	000e3048	212	3
Layout	setDrawColor	000e3138	6	0
Layout	drawMask	000e3140	32	1
Layout	drawMask	000e3168	68	3
Layout	tagString	000e31b0	162	5
Layout	formatNumber	000e32b4	390	11
Layout	formatCredits	000e34d8	74	5
Layout	drawBG	000e3544	38	1
Layout	drawBGPattern	000e3574	378	6
Layout	drawWindow	000e36f4	108	4
Layout	drawWindow	000e3780	228	7
Layout	drawWindow	000e387c	68	4
Layout	drawWindow	000e38d4	84	4
Layout	drawBGBorder	000e393c	32	1
Layout	drawBGBorder	000e395c	662	7
Layout	getFooterTransitionWidth	000e3c08	46	1
Layout	drawFooter	000e3c3c	770	21
Layout	drawFooter	000e3fb4	8	0
Layout	drawEmptyFooter	000e3fbc	196	6
Layout	drawFooterNoBackButton	000e4090	8	0
Layout	drawFooterStation	000e4098	10	0
Layout	drawHeader	000e40a0	72	4
Layout	drawHeader	000e4100	246	7
Layout	drawHeader	000e4200	68	4
Layout	drawScrollBar	000e4258	280	7
Layout	drawBox	000e4384	1306	11
Layout	drawBox	000e48f0	88	4
Layout	initTip	000e495c	148	8
Layout	drawTip	000e4a14	252	7
Layout	initHelpWindow	000e4b40	106	5
Layout	drawHelpWindow	000e4bc0	10	0
Layout	helpPressed	000e4bc8	6	0
Layout	getHelpButtonOffset	000e4bd0	26	1
Layout	getPulseValue	000e4bf0	108	3
Layout	setWindowDimensions	000e4c60	202	3
Layout	showMissionRewardMessage	000e4d40	46	1
Layout	drawMissionRewardMessage	000e4d74	566	15
Layout	startFade	000e5014	30	0
Layout	enableFillScreen	000e5032	6	0
Layout	drawFade	000e5038	246	3
Layout	isFading	000e514c	6	0
Layout	update	000e5152	86	1
Layout	OnTouchBegin	000e51a8	96	3
Layout	OnTouchMove	000e5206	96	3
Layout	OnTouchEnd	000e5264	108	3
ModStation	ModStation	000e52d0	898	13
ModStation	~ModStation	000e56c0	34	2
ModStation	~ModStation	000e56f8	16	1
ModStation	OnInitialize	000e5708	5868	119
Array<TouchButton*>	Array	000e7004	28	1
(free)	ArraySetLength<TouchButton*>	000e7020	52	2
ModStation	autosave	000e7054	86	7
ModStation	resetLight	000e70bc	270	9
ModStation	enterStation	000e7200	158	8
ModStation	OnTouchBegin	000e72ac	448	14
ModStation	OnTouchMove	000e7480	376	11
ModStation	OnTouchEnd	000e7600	4896	106
ModStation	checkMedals	000e8b1c	424	12
ModStation	resetIdleCamForHangar	000e8cf0	320	13
ModStation	leaveStation	000e8e58	16	0
ModStation	OnRelease	000e9050	470	26
(free)	ArrayReleaseClasses<TouchButton*>	000e923c	80	3
Array<TouchButton*>	~Array	000e928c	22	1
ModStation	OnKeyPress	000e92a4	2234	49
ModStation	OnUpdate	000e9c78	3460	79
ModStation	checkPendingProducts	000eaabc	534	20
ModStation	checkHints	000ead54	2194	32
ModStation	OnRender2D	000eb810	1540	49
ModStation	OnRender3D	000ebf28	192	9
ModStation	setGameLoaded	000ebfec	12	0
ModStation	addAchievement	000ebff8	112	2
Array<int*>	Array	000ec078	28	1
(free)	ArraySetLength<int*>	000ec094	52	2
ModStation	showMapWindow	000ec0c8	14	0
ModStation	showCBSMessage	000ec0d8	168	5
ModStation	showDlcMenu	000ec1bc	194	5
ModStation	OnResume	000ec29c	42	1
ModStation	OnSuspend	000ec2d0	24	0
