mangled(_Z..)	demangled	in_ios_hd	in_ios_105	in_android	addr_ios_hd	addr_android
_Z14ArraySetLengthIPiEvjR5ArrayIT_E	void ArraySetLength<int*>(unsigned int, Array<int*>&)			Y		000dc094
_Z14ArraySetLengthIPvEvjR5ArrayIT_E	void ArraySetLength<void*>(unsigned int, Array<void*>&)			Y		00161376
_Z14ArraySetLengthIaEvjR5ArrayIT_E	void ArraySetLength<signed char>(unsigned int, Array<signed char>&)			Y		001207b0
_Z14ArraySetLengthIbEvjR5ArrayIT_E	void ArraySetLength<bool>(unsigned int, Array<bool>&)			Y		000a8d66
_Z14ArraySetLengthIfEvjR5ArrayIT_E	void ArraySetLength<float>(unsigned int, Array<float>&)			Y		000a726c
_Z14ArraySetLengthIiEvjR5ArrayIT_E	void ArraySetLength<int>(unsigned int, Array<int>&)			Y		000966f8
_Z14ArraySetLengthIjEvjR5ArrayIT_E	void ArraySetLength<unsigned int>(unsigned int, Array<unsigned int>&)			Y		001346bc
_Z14GetUseJoystickv	GetUseJoystick()			Y		0006a058
_Z15ArrowKeyPressedv	ArrowKeyPressed()			Y		0006a644
_Z15GetStringLengthN11AbyssEngine6StringE	GetStringLength(AbyssEngine::String)			Y		0006e60a
_Z15IsDialogVisiblei	IsDialogVisible(int)			Y		00069ec0
_Z15IsInPrimaryMenui	IsInPrimaryMenu(int)			Y		00069f18
_Z15IsSubMenuActivei	IsSubMenuActive(int)			Y		00069f7c
_Z15LowerMouseWheelv	LowerMouseWheel()			Y		0006a6a0
_Z15keyEventPressedPN11AbyssEngine6EngineEPc	keyEventPressed(AbyssEngine::Engine*, char*)			Y		0006a11c
_Z16keyEventReleasedPN11AbyssEngine6EngineEPc	keyEventReleased(AbyssEngine::Engine*, char*)			Y		0006a41c
_Z17BuildResourceListPN11AbyssEngine6EngineE	BuildResourceList(AbyssEngine::Engine*)			Y		000e8f54
_Z18ArrayReleaseArraysIPaEvR5ArrayIT_E	void ArrayReleaseArrays<signed char*>(Array<signed char*>&)			Y		000d0210
_Z18IsDialogNotVisiblei	IsDialogNotVisible(int)			Y		00069ef4
_Z19ArrayReleaseClassesIP10AEGeometryEvR5ArrayIT_E	void ArrayReleaseClasses<AEGeometry*>(Array<AEGeometry*>&)			Y		000984c4
